Idx,Ratio,Train,Val,Stuff,CARLA_ID,CARLA_NAME,Name,,,,,,,,,,,,,,
1,0.1576,11664,1172,1,11,Walls,wall,,,,,,,,,,,,,,
2,0.1072,6046,612,1,1,Buildings,building,edifice,,,,,,,,,,,,,
3,0.0878,8265,796,1,3,,sky,,,,,,,,,,,,,,
4,0.0621,9336,917,1,8,Sidewalks,floor,flooring,,,,,,,,,,,,,
5,0.048,6678,641,0,9,Vegetation,tree,,,,,,,,,,,,,,
6,0.045,6604,643,1,11,Walls,ceiling,,,,,,,,,,,,,,
7,0.0398,4023,408,1,7,Roads,road,route,,,,,,,,,,,,,
8,0.0231,1906,199,0,3,,bed,,,,,,,,,,,,,,
9,0.0198,4688,460,0,11,Walls,windowpane,window,,,,,,,,,,,,,
10,0.0183,2423,225,1,8,Sidewalks,grass,,,,,,,,,,,,,,
11,0.0181,2874,294,0,3,,cabinet,,,,,,,,,,,,,,
12,0.0166,3068,310,1,8,Sidewalks,sidewalk,pavement,,,,,,,,,,,,,
13,0.016,5075,526,0,4,Pedestrians,person,individual,someone,somebody,mortal,soul,,,,,,,,,
14,0.0151,1804,190,1,3,,earth,ground,,,,,,,,,,,,,
15,0.0118,6666,796,0,1,Buildings,door,double,door,,,,,,,,,,,,
16,0.011,4269,411,0,3,,table,,,,,,,,,,,,,,
17,0.0109,1691,160,1,3,,mountain,mount,,,,,,,,,,,,,
18,0.0104,3999,441,0,9,Vegetation,plant,flora,plant,life,,,,,,,,,,,
19,0.0104,2149,217,0,3,,curtain,drape,drapery,mantle,pall,,,,,,,,,,
20,0.0103,3261,318,0,3,,chair,,,,,,,,,,,,,,
21,0.0098,3164,306,0,10,Vehicles,car,auto,automobile,machine,motorcar,,,,,,,,,,
22,0.0074,709,75,1,3,,water,,,,,,,,,,,,,,
23,0.0067,3296,315,0,11,Walls,painting,picture,,,,,,,,,,,,,
24,0.0065,1191,106,0,3,,sofa,couch,lounge,,,,,,,,,,,,
25,0.0061,1516,162,0,3,,shelf,,,,,,,,,,,,,,
26,0.006,667,69,1,1,Buildings,house,,,,,,,,,,,,,,
27,0.0053,651,57,1,3,,sea,,,,,,,,,,,,,,
28,0.0052,1847,224,0,3,,mirror,,,,,,,,,,,,,,
29,0.0046,1158,128,1,3,,rug,carpet,carpeting,,,,,,,,,,,,
30,0.0044,480,44,1,8,Sidewalks,field,,,,,,,,,,,,,,
31,0.0044,1172,98,0,3,,armchair,,,,,,,,,,,,,,
32,0.0044,1292,184,0,3,,seat,,,,,,,,,,,,,,
33,0.0033,1386,138,0,2,Fences,fence,fencing,,,,,,,,,,,,,
34,0.0031,698,61,0,3,,desk,,,,,,,,,,,,,,
35,0.003,781,73,0,9,Vegetation,rock,stone,,,,,,,,,,,,,
36,0.0027,380,43,0,3,,wardrobe,closet,press,,,,,,,,,,,,
37,0.0026,3089,302,0,3,,lamp,,,,,,,,,,,,,,
38,0.0024,404,37,0,3,,bathtub,bathing,tub,bath,tub,,,,,,,,,,
39,0.0024,804,99,0,3,,railing,rail,,,,,,,,,,,,,
40,0.0023,1453,153,0,3,,cushion,,,,,,,,,,,,,,
41,0.0023,411,37,0,3,,base,pedestal,stand,,,,,,,,,,,,
42,0.0022,1440,162,0,3,,box,,,,,,,,,,,,,,
43,0.0022,800,77,0,3,,column,pillar,,,,,,,,,,,,,
44,0.002,2650,298,0,11,Walls,signboard,sign,,,,,,,,,,,,,
45,0.0019,549,46,0,3,,chest,of,drawers,chest,bureau,dresser,,,,,,,,,
46,0.0019,367,36,0,3,,counter,,,,,,,,,,,,,,
47,0.0018,311,30,1,3,,sand,,,,,,,,,,,,,,
48,0.0018,1181,122,0,3,,sink,,,,,,,,,,,,,,
49,0.0018,287,23,1,3,,skyscraper,,,,,,,,,,,,,,
50,0.0018,468,38,0,3,,fireplace,hearth,open,fireplace,,,,,,,,,,,
51,0.0018,402,43,0,3,,refrigerator,icebox,,,,,,,,,,,,,
52,0.0018,130,12,1,3,,grandstand,covered,stand,,,,,,,,,,,,
53,0.0018,561,64,1,3,,path,,,,,,,,,,,,,,
54,0.0017,880,102,0,1,Buildings,stairs,steps,,,,,,,,,,,,,
55,0.0017,86,12,1,3,,runway,,,,,,,,,,,,,,
56,0.0017,172,11,0,3,,case,display,case,showcase,vitrine,,,,,,,,,,
57,0.0017,198,18,0,3,,pool,table,billiard,table,snooker,table,,,,,,,,,
58,0.0017,930,109,0,3,,pillow,,,,,,,,,,,,,,
59,0.0015,139,18,0,3,,screen,door,screen,,,,,,,,,,,,
60,0.0015,564,52,1,3,,stairway,staircase,,,,,,,,,,,,,
61,0.0015,320,26,1,3,,river,,,,,,,,,,,,,,
62,0.0015,261,29,1,3,,bridge,span,,,,,,,,,,,,,
63,0.0014,275,22,0,3,,bookcase,,,,,,,,,,,,,,
64,0.0014,335,60,0,3,,blind,screen,,,,,,,,,,,,,
65,0.0014,792,75,0,3,,coffee,table,cocktail,table,,,,,,,,,,,
66,0.0014,395,49,0,3,,toilet,can,commode,crapper,pot,potty,stool,throne,,,,,,,
67,0.0014,1309,138,0,3,,flower,,,,,,,,,,,,,,
68,0.0013,1112,113,0,3,,book,,,,,,,,,,,,,,
69,0.0013,266,27,1,3,,hill,,,,,,,,,,,,,,
70,0.0013,659,66,0,3,,bench,,,,,,,,,,,,,,
71,0.0012,331,31,0,3,,countertop,,,,,,,,,,,,,,
72,0.0012,531,56,0,3,,stove,kitchen,stove,range,kitchen,range,cooking,stove,,,,,,,
73,0.0012,369,36,0,9,Vegetation,palm,palm,tree,,,,,,,,,,,,
74,0.0012,144,9,0,3,,kitchen,island,,,,,,,,,,,,,
75,0.0011,265,29,0,3,,computer,computing,machine,computing,device,data,processor,electronic,computer,information,processing,system,,,
76,0.001,324,33,0,3,,swivel,chair,,,,,,,,,,,,,
77,0.0009,304,27,0,10,Vehicles,boat,,,,,,,,,,,,,,
78,0.0009,170,20,0,3,,bar,,,,,,,,,,,,,,
79,0.0009,68,6,0,3,,arcade,machine,,,,,,,,,,,,,
80,0.0009,65,8,1,3,,hovel,hut,hutch,shack,shanty,,,,,,,,,,
81,0.0009,248,25,0,10,Vehicles,bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger,vehicle,,,,
82,0.0008,492,49,0,3,,towel,,,,,,,,,,,,,,
83,0.0008,2510,269,0,3,,light,light,source,,,,,,,,,,,,
84,0.0008,440,39,0,10,Vehicles,truck,motortruck,,,,,,,,,,,,,
85,0.0008,147,18,1,1,Buildings,tower,,,,,,,,,,,,,,
86,0.0008,583,56,0,3,,chandelier,pendant,pendent,,,,,,,,,,,,
87,0.0007,533,61,0,3,,awning,sunshade,sunblind,,,,,,,,,,,,
88,0.0007,1989,239,0,3,,streetlight,street,lamp,,,,,,,,,,,,
89,0.0007,71,5,0,3,,booth,cubicle,stall,kiosk,,,,,,,,,,,
90,0.0007,618,53,0,3,,television,television,receiver,television,set,tv,tv,set,idiot,box,boob,tube,telly,goggle,box
91,0.0007,135,12,0,3,,airplane,aeroplane,plane,,,,,,,,,,,,
92,0.0007,83,5,1,3,,dirt,track,,,,,,,,,,,,,
93,0.0007,178,17,0,3,,apparel,wearing,apparel,dress,clothes,,,,,,,,,,
94,0.0006,1003,104,0,3,,pole,,,,,,,,,,,,,,
95,0.0006,182,12,1,3,,land,ground,soil,,,,,,,,,,,,
96,0.0006,452,50,0,3,,bannister,banister,balustrade,balusters,handrail,,,,,,,,,,
97,0.0006,42,6,1,3,,escalator,moving,staircase,moving,stairway,,,,,,,,,,
98,0.0006,307,31,0,3,,ottoman,pouf,pouffe,puff,hassock,,,,,,,,,,
99,0.0006,965,114,0,3,,bottle,,,,,,,,,,,,,,
100,0.0006,117,13,0,3,,buffet,counter,sideboard,,,,,,,,,,,,
101,0.0006,354,35,0,3,,poster,posting,placard,notice,bill,card,,,,,,,,,
102,0.0006,108,9,1,3,,stage,,,,,,,,,,,,,,
103,0.0006,557,55,0,3,,van,,,,,,,,,,,,,,
104,0.0006,52,4,0,10,Vehicles,ship,,,,,,,,,,,,,,
105,0.0005,99,5,0,3,,fountain,,,,,,,,,,,,,,
106,0.0005,57,4,1,3,,conveyer,belt,conveyor,belt,conveyer,conveyor,transporter,,,,,,,,
107,0.0005,292,31,0,3,,canopy,,,,,,,,,,,,,,
108,0.0005,77,9,0,3,,washer,automatic,washer,washing,machine,,,,,,,,,,
109,0.0005,340,38,0,3,,plaything,toy,,,,,,,,,,,,,
110,0.0005,66,3,1,3,,swimming,pool,swimming,bath,natatorium,,,,,,,,,,
111,0.0005,465,49,0,3,,stool,,,,,,,,,,,,,,
112,0.0005,50,4,0,3,,barrel,cask,,,,,,,,,,,,,
113,0.0005,622,75,0,3,,basket,handbasket,,,,,,,,,,,,,
114,0.0005,80,9,1,3,,waterfall,falls,,,,,,,,,,,,,
115,0.0005,59,3,0,3,,tent,collapsible,shelter,,,,,,,,,,,,
116,0.0005,531,72,0,3,,bag,,,,,,,,,,,,,,
117,0.0005,282,30,0,10,Vehicles,minibike,motorbike,,,,,,,,,,,,,
118,0.0005,73,7,0,3,,cradle,,,,,,,,,,,,,,
119,0.0005,435,44,0,3,,oven,,,,,,,,,,,,,,
120,0.0005,136,25,0,3,,ball,,,,,,,,,,,,,,
121,0.0005,116,24,0,3,,food,solid,food,,,,,,,,,,,,
122,0.0004,266,31,0,3,,step,stair,,,,,,,,,,,,,
123,0.0004,58,12,0,3,,tank,storage,tank,,,,,,,,,,,,
124,0.0004,418,83,0,3,,trade,name,brand,name,brand,marque,,,,,,,,,
125,0.0004,319,43,0,3,,microwave,microwave,oven,,,,,,,,,,,,
126,0.0004,1193,139,0,3,,pot,flowerpot,,,,,,,,,,,,,
127,0.0004,97,23,0,3,,animal,animate,being,beast,brute,creature,fauna,,,,,,,,
